time_s,accel_mps2
2.3900,-0.044514257
2.4000,-0.013769456
2.4100,0.017397068
2.4200,0.052437148
2.4300,0.094602015
2.4400,0.146792061
2.4500,0.211420861
2.4600,0.290298710
2.4700,0.384540172
2.4800,0.494499216
2.4900,0.619734447
2.5000,0.759005800
2.5100,0.910302839
2.5200,1.070903638
2.5300,1.237462025
2.5400,1.406119902
2.5500,1.572640435
2.5600,1.732557076
2.5700,1.881332815
2.5800,2.014523684
2.5900,2.127940348
2.6000,2.217801731
2.6100,2.280874914
2.6200,2.314596066
2.6300,2.317167895
2.6400,2.287629991
2.6500,2.225899447
2.6600,2.132780278
2.6700,2.009941317
2.6800,1.859863440
2.6900,1.685758141
2.7000,1.491460512
2.7100,1.281300647
2.7200,1.059958281
2.7300,0.832306075
2.7400,0.603247378
2.7500,0.377554442
2.7600,0.159713089
2.7700,-0.046220520
2.7800,-0.236745769
2.7900,-0.409021612
2.8000,-0.560945023
2.8100,-0.691201178
2.8200,-0.799283712
2.8300,-0.885484557
2.8400,-0.950854002
2.8500,-0.997132748
2.8600,-1.026658749
2.8700,-1.042252623
2.8800,-1.047086145
2.8900,-1.044539004
2.9000,-1.038049393
2.9100,-1.030964229
2.9200,-1.026394767
2.9300,-1.027083162
2.9400,-1.035285069
2.9500,-1.052672764
2.9600,-1.080262438
2.9700,-1.118368412
2.9800,-1.166585959
2.9900,-1.223803335
3.0000,-1.288242495
3.0100,-1.357526887
3.0200,-1.428773668
3.0300,-1.498706789
3.0400,-1.563786575
3.0500,-1.620350820
3.0600,-1.664762001
3.0700,-1.693554951
3.0800,-1.703579364
3.0900,-1.692131671
3.1000,-1.657071257
3.1100,-1.596916583
3.1200,-1.510917531
3.1300,-1.399101196
3.1400,-1.262289361
3.1500,-1.102086955
3.1600,-0.920841872
3.1700,-0.721577622
3.1800,-0.507901302
3.1900,-0.283890277
3.2000,-0.053961777
3.2100,0.177269782
3.2200,0.405142463
3.2300,0.625097957
3.2400,0.832828648
3.2500,1.024415206
3.2600,1.196449700
3.2700,1.346139752
3.2800,1.471390019
3.2900,1.570858123
3.3000,1.643983118
3.3100,1.690985638
3.3200,1.712839906
3.3300,1.711218873
3.3400,1.688414706
3.3500,1.647237825
3.3600,1.590898403
3.3700,1.522874958
3.3800,1.446775049
3.3900,1.366193445
3.4000,1.284573108
3.4100,1.205074290
3.4200,1.130456631
3.4300,1.062978675
3.4400,1.004318513
3.4500,0.955518463
3.4600,0.916955739
3.4700,0.888340087
3.4800,0.868738323
3.4900,0.856624691
3.5000,0.849954957
3.5100,0.846261289
3.5200,0.842764155
3.5300,0.836496855
3.5400,0.824437826
3.5500,0.803645575
3.5600,0.771390998
3.5700,0.725281979
3.5800,0.663375429
3.5900,0.584272447
3.6000,0.487192912
3.6100,0.372026615
3.6200,0.239358921
3.6300,0.090469935
3.6400,-0.072692856
3.6500,-0.247567500
3.6600,-0.431054093
3.6700,-0.619612090
3.6800,-0.809374764
3.6900,-0.996276600
3.7000,-1.176188859
3.7100,-1.345058296
3.7200,-1.499043878
3.7300,-1.634646448
3.7400,-1.748826538
3.7500,-1.839106010
3.7600,-1.903649786
3.7700,-1.941324729
3.7800,-1.951733536
3.7900,-1.935222514
3.8000,-1.892863023
3.8100,-1.826407408
3.8200,-1.738221147
3.8300,-1.631193864
3.8400,-1.508632600
3.8500,-1.374141406
3.8600,-1.231491802
3.8700,-1.084488980
3.8800,-0.936838740
3.8900,-0.792020129
3.9000,-0.653168480
3.9100,-0.522973147
3.9200,-0.403593662
3.9300,-0.296597305
3.9400,-0.202920278
3.9500,-0.122853748
3.9600,-0.056055082
3.9700,-0.001583650
3.9800,0.042040363
3.9900,0.076756577
4.0000,0.104867654
4.0100,0.128929005
4.0200,0.151629312
4.0300,0.175666537
4.0400,0.203624254
4.0500,0.237853113
4.0600,0.280362005
4.0700,0.332723160
4.0800,0.395994814
4.0900,0.470664448
4.1000,0.556614765
4.1100,0.653113742
4.1200,0.758829138
4.1300,0.871866931
4.1400,0.989832224
4.1500,1.109910341
4.1600,1.228965021
4.1700,1.343650034
4.1800,1.450529970
4.1900,1.546205671
4.2000,1.627439563
4.2100,1.691276178
4.2200,1.735153317
4.2300,1.756999696
4.2400,1.755315405
4.2500,1.729232159
4.2600,1.678551107
4.2700,1.603756788
4.2800,1.506006719
4.2900,1.387097030
4.3000,1.249405437
4.3100,1.095813704
4.3200,0.929612481
4.3300,0.754392091
4.3400,0.573923311
4.3500,0.392032585
4.3600,0.212476277
4.3700,0.038818602
4.3800,-0.125682303
4.3900,-0.278175996
4.4000,-0.416305377
4.4100,-0.538273319
4.4200,-0.642887932
4.4300,-0.729584967
4.4400,-0.798426711
4.4500,-0.850077605
4.4600,-0.885757712
4.4700,-0.907175979
4.4800,-0.916445986
4.4900,-0.915987542
4.5000,-0.908417975
4.5100,-0.896437371
4.5200,-0.882712185
4.5300,-0.869761732
4.5400,-0.859851886
4.5500,-0.854900060
4.5600,-0.856395081
4.5700,-0.865334973
4.5800,-0.882184994
4.5900,-0.906857475
4.6000,-0.938714167
4.6100,-0.976590960
4.6200,-1.018843957
4.6300,-1.063415103
4.6400,-1.107914789
4.6500,-1.149718259
4.6600,-1.186072073
4.6700,-1.214206540
4.6800,-1.231449808
4.6900,-1.235339219
4.7000,-1.223725680
4.7100,-1.194867038
4.7200,-1.147506889
4.7300,-1.080935808
4.7400,-0.995032628
4.7500,-0.890284188
4.7600,-0.767782755
4.7700,-0.629201182
4.7800,-0.476746691
4.7900,-0.313094985
4.8000,-0.141307119
4.8100,0.035267812
4.8200,0.213100536
4.8300,0.388596067
4.8400,0.558210520
4.8500,0.718565979
4.8600,0.866559221
4.8700,0.999460290
4.8800,1.114997365
4.8900,1.211424849
4.9000,1.287572266
4.9100,1.342872269
4.9200,1.377366854
4.9300,1.391691694
4.9400,1.387039323
4.9500,1.365102700
4.9600,1.328001387
4.9700,1.278193242
4.9800,1.218375049
4.9900,1.151375886
5.0000,1.080047318
5.0100,1.007154573
5.0200,0.935272814
5.0300,0.866692392
5.0400,0.803336625
5.0500,0.746695135
5.0600,0.697775174
5.0700,0.657072681
5.0800,0.624564053
5.0900,0.599718806
5.1000,0.581532522
5.1100,0.568578700
5.1200,0.559077406
5.1300,0.550977997
5.1400,0.542052659
5.1500,0.529997087
5.1600,0.512534394
5.1700,0.487518196
5.1800,0.453030893
5.1900,0.407473323
5.2000,0.349642330
5.2100,0.278793235
5.2200,0.194684800
5.2300,0.097604909
5.2400,-0.011624031
5.2500,-0.131660235
5.2600,-0.260677694
5.2700,-0.396420047
5.2800,-0.536271191
5.2900,-0.677339986
5.3000,-0.816555922
5.3100,-0.950772174
5.3200,-1.076872214
5.3300,-1.191876014
5.3400,-1.293041908
5.3500,-1.377960317
5.3600,-1.444635908
5.3700,-1.491555132
5.3800,-1.517736694
5.3900,-1.522763135
5.4000,-1.506792386
5.4100,-1.470548964
5.4200,-1.415295190
5.4300,-1.342783575
5.4400,-1.255192226
5.4500,-1.155045726
5.4600,-1.045124508
5.4700,-0.928366130
5.4800,-0.807762157
5.4900,-0.686254511
5.5000,-0.566635131
5.5100,-0.451452672
5.5200,-0.342929638
5.5300,-0.242892994
5.5400,-0.152720735
5.5500,-0.073306287
5.5600,-0.005041929
5.5700,0.052178277
5.5800,0.098936352
5.5900,0.136250035
5.6000,0.165515889
5.6100,0.188438187
5.6200,0.206946401
5.6300,0.223104569
5.6400,0.239016076
5.6500,0.256727578
5.6600,0.278135791
5.6700,0.304900752
5.6800,0.338368910
5.6900,0.379509004
5.7000,0.428863189
5.7100,0.486515302
5.7200,0.552077474
5.7300,0.624695605
5.7400,0.703073503
5.7500,0.785514772
5.7600,0.869980851
5.7700,0.954163009
5.7800,1.035565564
5.7900,1.111597173
5.8000,1.179666743
5.8100,1.237280324
5.8200,1.282135335
5.8300,1.312208569
5.8400,1.325834644
5.8500,1.321771962
5.8600,1.299253688
5.8700,1.258021833
5.8800,1.198343166
5.8900,1.121006366
5.9000,1.027300507
5.9100,0.918975699
5.9200,0.798187354
5.9300,0.667426158
5.9400,0.529436346
5.9500,0.387125345
5.9600,0.243468113
5.9700,0.101409714
5.9800,-0.036230268
5.9900,-0.166847982
6.0000,-0.288136935
6.0100,-0.398158028
6.0200,-0.495395501
6.0300,-0.578796818
6.0400,-0.647795127
6.0500,-0.702313618
6.0600,-0.742751741
6.0700,-0.769953975
6.0800,-0.785162471
6.0900,-0.789955470
6.1000,-0.786173981
6.1100,-0.775839577
6.1200,-0.761066515
6.1300,-0.743971595
6.1400,-0.726585206
6.1500,-0.710766993
6.1600,-0.698129328
6.1700,-0.689971522
6.1800,-0.687227234
6.1900,-0.690427057
6.2000,-0.699677661
6.2100,-0.714658232
6.2200,-0.734634293
6.2300,-0.758488318
6.2400,-0.784765925
6.2500,-0.811735824
6.2600,-0.837461185
6.2700,-0.859879666
6.2800,-0.876889002
6.2900,-0.886434863
6.3000,-0.886597598
6.3100,-0.875674530
6.3200,-0.852254650
6.3300,-0.815282836
6.3400,-0.764111130
6.3500,-0.698535107
6.3600,-0.618813919
6.3700,-0.525673216
6.3800,-0.420290822
6.3900,-0.304265648
6.4000,-0.179570990
6.4100,-0.048493925
6.4200,0.086436941
6.4300,0.222532726
6.4400,0.357031496
6.4500,0.487188246
6.4600,0.610364334
6.4700,0.724113055
6.4800,0.826258236
6.4900,0.914962982
6.5000,0.988786079
6.5100,1.046724041
6.5200,1.088237322
6.5300,1.113259815
6.5400,1.122191387
6.5500,1.115873833
6.5600,1.095551262
6.5700,1.062816485
6.5800,1.019545509
6.5900,0.967822675
6.6000,0.909859301
6.6100,0.847908949
6.6200,0.784182509
6.6300,0.720766312
6.6400,0.659546345
6.6500,0.602141381
6.6600,0.549847497
6.6700,0.503596014
6.6800,0.463926350
6.6900,0.430974736
6.7000,0.404479103
6.7100,0.383799852
6.7200,0.367955620
6.7300,0.355672559
6.7400,0.345445170
6.7500,0.335606273
6.7600,0.324403362
6.7700,0.310078374
6.7800,0.290947750
6.7900,0.265479685
6.8000,0.232365576
6.8100,0.190582892
6.8200,0.139447045
6.8300,0.078650239
6.8400,0.008285786
6.8500,-0.071143051
6.8600,-0.158730083
6.8700,-0.253188829
6.8800,-0.352889949
6.8900,-0.455912069
6.9000,-0.560104140
6.9100,-0.663156966
6.9200,-0.762681268
6.9300,-0.856289349
6.9400,-0.941677325
6.9500,-1.016704862
6.9600,-1.079469455
6.9700,-1.128372491
6.9800,-1.162174666
6.9900,-1.180038706
7.0000,-1.181557839
7.0100,-1.166769004
7.0200,-1.136150339
7.0300,-1.090603084
7.0400,-1.031418635
7.0500,-0.960232013
7.0600,-0.878963518
7.0700,-0.789750791
7.0800,-0.694873838
7.0900,-0.596675816
7.1000,-0.497482558
7.1100,-0.399523811
7.1200,-0.304859104
7.1300,-0.215310961
7.1400,-0.132407910
7.1500,-0.057339308
7.1600,0.009076393
7.1700,0.066408879
7.1800,0.114618170
7.1900,0.154041828
7.2000,0.185367794
7.2100,0.209593993
7.2200,0.227976372
7.2300,0.241967443
7.2400,0.253147767
7.2500,0.263153067
7.2600,0.273599817
7.2700,0.286012186
7.2800,0.301753187
7.2900,0.321962663
7.3000,0.347504513
7.3100,0.378925172
7.3200,0.416424949
7.3300,0.459843300
7.3400,0.508658614
7.3500,0.562002498
7.3600,0.618688035
7.3700,0.677250913
7.3800,0.736001872
7.3900,0.793088465
7.4000,0.846563788
7.4100,0.894459569
7.4200,0.934860837
7.4300,0.965979359
7.4400,0.986223033
7.4500,0.994258652
7.4600,0.989065637
7.4700,0.969978714
7.4800,0.936717942
7.4900,0.889404939
7.5000,0.828564700
7.5100,0.755112935
7.5200,0.670329395
7.5300,0.575818179
7.5400,0.473456509
7.5500,0.365333857
7.5600,0.253683710
7.5700,0.140810486
7.5800,0.029014307
7.5900,-0.079483597
7.6000,-0.182612119
7.6100,-0.278515530
7.6200,-0.365610400
7.6300,-0.442632133
7.6400,-0.508669469
7.6500,-0.563185762
7.6600,-0.606026355
7.6700,-0.637411870
7.6800,-0.657917805
7.6900,-0.668441295
7.7000,-0.670156407
7.7100,-0.664459752
7.7200,-0.652908551
7.7300,-0.637153567
7.7400,-0.618869497
7.7500,-0.599685507
7.7600,-0.581118561
7.7700,-0.564512082
7.7800,-0.550982277
7.7900,-0.541374139
7.8000,-0.536228768
7.8100,-0.535763229
7.8200,-0.539863649
7.8300,-0.548091787
7.8400,-0.559704754
7.8500,-0.573687108
7.8600,-0.588794015
7.8700,-0.603603820
7.8800,-0.616577956
7.8900,-0.626125873
7.9000,-0.630672484
7.9100,-0.628725519
7.9200,-0.618940197
7.9300,-0.600178721
7.9400,-0.571562318
7.9500,-0.532513812
7.9600,-0.482789093
7.9700,-0.422496257
7.9800,-0.352101672
7.9900,-0.272422712
8.0000,-0.184607392
8.0100,-0.090101661
8.0200,0.009394456
8.0300,0.111980248
8.0400,0.215615255
8.0500,0.318185511
8.0600,0.417572628
8.0700,0.511723188
8.0800,0.598715863
8.0900,0.676823819
8.1000,0.744570111
8.1100,0.800774053
8.1200,0.844586895
8.1300,0.875515538
8.1400,0.893433483
8.1500,0.898578660
8.1600,0.891538315
8.1700,0.873221573
8.1800,0.844820802
8.1900,0.807763263
8.2000,0.763654932
8.2100,0.714218646
8.2200,0.661228915
8.2300,0.606445887
8.2400,0.551550937
8.2500,0.498086298
8.2600,0.447400978
8.2700,0.400604967
8.2800,0.358533397
8.2900,0.321721940
8.3000,0.290394311
8.3100,0.264462251
8.3200,0.243537910
8.3300,0.226958068
8.3400,0.213819193
8.3500,0.203021906
8.3600,0.193323102
8.3700,0.183393656
8.3800,0.171879462
8.3900,0.157463417
8.4000,0.138925943
8.4100,0.115201704
8.4200,0.085430305
8.4300,0.048999030
8.4400,0.005575945
8.4500,-0.044867900
8.4600,-0.102048059
8.4700,-0.165368468
8.4800,-0.233935374
8.4900,-0.306582912
8.5000,-0.381909380
8.5100,-0.458322847
8.5200,-0.534094410
8.5300,-0.607417098
8.5400,-0.676468218
8.5500,-0.739472818
8.5600,-0.794765899
8.5700,-0.840851050
8.5800,-0.876453339
8.5900,-0.900564478
8.6000,-0.912478609
8.6100,-0.911817388
8.6200,-0.898543458
8.6300,-0.872961832
8.6400,-0.835709165
8.6500,-0.787731350
8.6600,-0.730250287
8.6700,-0.664721114
8.6800,-0.592781488
8.6900,-0.516194850
8.7000,-0.436789786
8.7100,-0.356397739
8.7200,-0.276791401
8.7300,-0.199626043
8.7400,-0.126385954
8.7500,-0.058337927
8.7600,0.003506522
8.7700,0.058418868
8.7800,0.105970260
8.7900,0.146036658
8.8000,0.178792308
8.8100,0.204691921
8.8200,0.224442315
8.8300,0.238964700
8.8400,0.249349109
8.8500,0.256802793
8.8600,0.262594609
8.8700,0.267997563
8.8800,0.274231744
8.8900,0.282409869
8.9000,0.293487517
8.9100,0.308219976
8.9200,0.327127368
8.9300,0.350469350
8.9400,0.378230398
8.9500,0.410116186
8.9600,0.445561223
8.9700,0.483747431
8.9800,0.523632952
8.9900,0.563990077
9.0000,0.603450855
9.0100,0.640558628
9.0200,0.673823536
9.0300,0.701779882
9.0400,0.723043163
9.0500,0.736364622
9.0600,0.740681233
9.0700,0.735159227
9.0800,0.719229519
9.0900,0.692613684
9.1000,0.655339496
9.1100,0.607745446
9.1200,0.550474050
9.1300,0.484454201
9.1400,0.410873212
9.1500,0.331139590
9.1600,0.246837918
9.1700,0.159677530
9.1800,0.071436864
9.1900,-0.016094428
9.2000,-0.101173506
9.2100,-0.182160347
9.2200,-0.257569697
9.2300,-0.326117068
9.2400,-0.386757135
9.2500,-0.438713152
9.2600,-0.481496370
9.2700,-0.514914807
9.2800,-0.539071125
9.2900,-0.554349788
9.3000,-0.561394051
9.3100,-0.561073751
9.3200,-0.554445163
9.3300,-0.542704519
9.3400,-0.527136990
9.3500,-0.509063113
9.3600,-0.489784708
9.3700,-0.470532366
9.3800,-0.452416498
9.3900,-0.436383791
9.4000,-0.423180720
9.4100,-0.413325473
9.4200,-0.407089310
9.4300,-0.404488050
9.4400,-0.405283942
9.4500,-0.408997829
9.4600,-0.414931068
9.4700,-0.422196354
9.4800,-0.429756208
9.4900,-0.436467635
9.5000,-0.441131208
9.5100,-0.442542679
9.5200,-0.439545112
9.5300,-0.431079534
9.5400,-0.416232144
9.5500,-0.394276268
9.5600,-0.364707434
9.5700,-0.327270216
9.5800,-0.281975816
9.5900,-0.229109673
9.6000,-0.169228815
9.6100,-0.103149010
9.6200,-0.031922189
9.6300,0.043195039
9.6400,0.120780606
9.6500,0.199292499
9.6600,0.277118879
9.6700,0.352630942
9.6800,0.424236586
9.6900,0.490432874
9.7000,0.549855392
9.7100,0.601322666
9.7200,0.643874028
9.7300,0.676799561
9.7400,0.699661039
9.7500,0.712303140
9.7600,0.714854560
9.7700,0.707719042
9.7800,0.691556708
9.7900,0.667256443
9.8000,0.635900412
9.8100,0.598722082
9.8200,0.557059352
9.8300,0.512304574
9.8400,0.465853363
9.8500,0.419054102
9.8600,0.373160055
9.8700,0.329285847
9.8800,0.288369930
9.8900,0.251144399
9.9000,0.218113247
9.9100,0.189539821
9.9200,0.165443880
9.9300,0.145608296
9.9400,0.129595084
9.9500,0.116770063
9.9600,0.106335154
9.9700,0.097367020
9.9800,0.088860519
9.9900,0.079775257
10.0000,0.069083434
10.0100,0.055817107
10.0200,0.039113039
10.0300,0.018253400
10.0400,-0.007299261
10.0500,-0.037874121
10.0600,-0.073572355
10.0700,-0.114256326
10.0800,-0.159548141
10.0900,-0.208837620
10.1000,-0.261299406
10.1100,-0.315918571
10.1200,-0.371523770
10.1300,-0.426826687
10.1400,-0.480466310
10.1500,-0.531056366
10.1600,-0.577234140
10.1700,-0.617708852
10.1800,-0.651307782
10.1900,-0.677018421
10.2000,-0.694025082
10.2100,-0.701738606
10.2200,-0.699818059
10.2300,-0.688183643
10.2400,-0.667020328
10.2500,-0.636772111
10.2600,-0.598127113
10.2700,-0.551994104
10.2800,-0.499471336
10.2900,-0.441808869
10.3000,-0.380365797
10.3100,-0.316563979
10.3200,-0.251839995
10.3300,-0.187597110
10.3400,-0.125159024
10.3500,-0.065727099
10.3600,-0.010342632
10.3700,0.040144467
10.3800,0.085099485
10.3900,0.124118357
10.4000,0.157034272
10.4100,0.183915244
10.4200,0.205052830
10.4300,0.220942491
10.4400,0.232256417
10.4500,0.239809914
10.4600,0.244522682
10.4700,0.247376524
10.4800,0.249371118
10.4900,0.251479587
10.5000,0.254605577
10.5100,0.259543496
10.5200,0.266943445
10.5300,0.277282176
10.5400,0.290841190
10.5500,0.307692800
10.5600,0.327694681
10.5700,0.350493114
10.5800,0.375534781
10.5900,0.402086648
10.6000,0.429263177
10.6100,0.456059816
10.6200,0.481391475
10.6300,0.504134537
10.6400,0.523170770
10.6500,0.537431497
10.6600,0.545940317
10.6700,0.547852763
10.6800,0.542491386
10.6900,0.529374930
10.7000,0.508240490
10.7100,0.479057803
10.7200,0.442035138
10.7300,0.397616537
10.7400,0.346470514
10.7500,0.289470622
10.7600,0.227668609
10.7700,0.162261153
10.7800,0.094551413
10.7900,0.025906819
10.8000,-0.042285340
10.8100,-0.108662894
10.8200,-0.171932674
10.8300,-0.230911705
10.8400,-0.284564187
10.8500,-0.332032952
10.8600,-0.372664244
10.8700,-0.406024977
10.8800,-0.431911859
10.8900,-0.450352119
10.9000,-0.461595873
10.9100,-0.466100467
10.9200,-0.464507463
10.9300,-0.457613178
10.9400,-0.446333937
10.9500,-0.431667408
10.9600,-0.414651488
10.9700,-0.396322340
10.9800,-0.377673176
10.9900,-0.359615341
11.0000,-0.342943183
11.0100,-0.328304026
11.0200,-0.316174345
11.0300,-0.306843052
11.0400,-0.300402463
11.0500,-0.296747276
11.0600,-0.295581552
11.0700,-0.296433387
11.0800,-0.298676690
11.0900,-0.301559186
11.1000,-0.304235555
11.1100,-0.305804395
11.1200,-0.305347588
11.1300,-0.301970529
11.1400,-0.294841664
11.1500,-0.283229816
11.1600,-0.266537844
11.1700,-0.244331352
11.1800,-0.216361330
11.1900,-0.182579841
11.2000,-0.143148164
11.2100,-0.098437040
11.2200,-0.049019015
11.2300,0.004346865
11.2400,0.060737431
11.2500,0.119094036
11.2600,0.178256382
11.2700,0.237000295
11.2800,0.294078042
11.2900,0.348259689
11.3000,0.398373980
11.3100,0.443347223
11.3200,0.482238751
11.3300,0.514271659
11.3400,0.538857700
11.3500,0.555615434
11.3600,0.564380995
11.3700,0.565211101
11.3800,0.558378240
11.3900,0.544358245
11.4000,0.523810752
11.4100,0.497553328
11.4200,0.466530232
11.4300,0.431777042
11.4400,0.394382455
11.4500,0.355448736
11.4600,0.316052266
11.4700,0.277205699
11.4800,0.239823108
11.4900,0.204689411
11.5000,0.172435208
11.5100,0.143517912
11.5200,0.118209862
11.5300,0.096593788
11.5400,0.078565774
11.5500,0.063845515
11.5600,0.051993449
11.5700,0.042434039
11.5800,0.034484278
11.5900,0.027386279
11.6000,0.020342669
11.6100,0.012553403
11.6200,0.003252550
11.6300,-0.008256355
11.6400,-0.022567787
11.6500,-0.040145782
11.6600,-0.061300661
11.6700,-0.086171834
11.6800,-0.114717344
11.6900,-0.146710565
11.7000,-0.181744176
11.7100,-0.219241293
11.7200,-0.258473311
11.7300,-0.298583818
11.7400,-0.338617669
11.7500,-0.377554116
11.7600,-0.414342777
11.7700,-0.447941063
11.7800,-0.477351676
11.7900,-0.501658768
11.8000,-0.520061398
11.8100,-0.531903051
11.8200,-0.536696107
11.8300,-0.534140348
11.8400,-0.524134828
11.8500,-0.506782659
11.8600,-0.482388556
11.8700,-0.451449225
11.8800,-0.414636983
11.8900,-0.372777216
11.9000,-0.326820526
11.9100,-0.277810615
11.9200,-0.226849104
11.9300,-0.175058598
11.9400,-0.123545354
11.9500,-0.073362955
11.9600,-0.025478298
11.9700,0.019258846
11.9800,0.060141598
11.9900,0.096626156
12.0000,0.128345673
